,0
cluster1 cluster0 Single Link,4.105816734794972
cluster1 cluster0 average,8.987948225519913
cluster1 cluster0 centriod,4.117678804609071
cluster1 cluster0 complete Link,17.944414200941566
cluster1 cluster2 Single Link,4.686230874045014
cluster1 cluster2 average,9.420246148500912
cluster1 cluster2 centriod,4.5372667008558
cluster1 cluster2 complete Link,19.15491649297957
cluster2 cluster0 Single Link,6.084247144084418
cluster2 cluster0 average,11.527020965938805
cluster2 cluster0 centriod,8.062585498326701
cluster2 cluster0 complete Link,21.015630261985347
