,0
0,4820
1,707
2,7369
3,3817
4,1577
5,616
6,6737
7,3388
8,352
9,2221
10,4470
11,2502
12,1812
13,1573
14,5182
15,6717
16,6536
17,5997
18,3522
19,493
20,3421
21,1747
22,2247
23,3989
24,7757
25,4100
26,5485
27,2153
28,7067
29,4582
30,5948
31,8142
32,3109
33,6448
34,6961
35,1884
36,7417
37,5881
38,1972
39,7628
40,1942
41,1998
42,5356
43,4373
44,2645
45,3618
46,683
47,46
48,2925
49,7012
50,2317
51,6815
52,7384
53,1613
54,5797
55,2311
56,8433
57,4243
58,4872
59,6917
60,2814
61,6817
62,3401
63,2204
64,7499
65,2017
66,2991
67,1399
68,2725
69,4028
70,3208
71,383
72,7894
73,6968
74,3322
75,1805
76,2887
77,1000
78,4668
79,3441
80,2435
81,1745
82,6287
83,881
84,7713
85,1813
86,263
87,5125
88,3378
89,2858
90,336
91,1459
92,4476
93,8374
94,7241
95,6722
96,5281
97,1423
98,4866
99,4859
