,0
50,GI_24432049-S
3825,GI_24432049-S^2
300,GI_20127596-S^2
4,GI_34328935-S
14,GI_32171246-I
3198,GI_14149701-S^2
4961,GI_31324542-S^2
85,GI_4557678-S
2,GI_4585642-S
60,GI_27475984-S
92,GI_7706713-S
4290,GI_27475984-S^2
31,GI_22035587-A
3073,GI_42659113-S GI_14149701-S
75,GI_17017983-S
48,GI_37574605-A
3867,GI_24432049-S GI_7706713-S
5030,GI_4557678-S GI_38201693-S
3564,GI_4557394-S GI_24308064-S
25,GI_21314649-S
95,GI_21314760-S
5150,GI_38201693-S^2
3447,GI_13375790-S GI_24432049-S
4070,GI_45505129-S^2
4716,GI_16950634-A^2
716,GI_23312375-A GI_42659113-S
1892,GI_13376877-S GI_31324542-S
3130,GI_42659113-S GI_42658560-S
343,GI_20127596-S GI_31542532-S
28,GI_4508018-S
87,GI_34452172-S
3223,GI_14149701-S GI_34222109-I
2802,GI_22749180-S GI_13430873-S
5073,GI_31341099-S^2
369,GI_20127596-S GI_16950634-A
3679,GI_4503314-S GI_27475984-S
2685,GI_22035587-A GI_24432049-S
23,GI_31377655-S
2399,GI_21361878-S GI_24432049-S
3927,GI_13787213-I GI_5730010-S
49,GI_14917110-S
57,GI_20302037-S
2942,GI_14249161-S GI_42659113-S
91,GI_40068510-S
5015,GI_4557678-S^2
4665,GI_11641417-S GI_16604251-S
4920,GI_16604251-S^2
2022,GI_40255181-S GI_5730010-S
8,GI_42658538-S
3177,GI_22748680-S GI_16604251-S
3086,GI_42659113-S GI_13787213-I
3498,GI_34915989-S^2
55,GI_45505129-S
5115,GI_19923616-S^2
4623,GI_41584204-S^2
1916,GI_28195383-S GI_34147355-S
1729,GI_38505264-S GI_31324542-S
3829,GI_24432049-S GI_24308064-S
61,GI_38679945-S
4733,GI_16950634-A GI_31341099-S
3854,GI_24432049-S GI_20357531-S
303,GI_20127596-S GI_21729887-A
2795,GI_22749180-S GI_40068510-S
3219,GI_14149701-S GI_27475984-S
2051,GI_40255181-S GI_31324542-S
1942,GI_28195383-S GI_13787213-I
2714,GI_22035587-A GI_20357531-S
4938,GI_16604251-S GI_13430873-S
3536,GI_34915989-S GI_31324542-S
100,GI_38201693-S
4672,GI_11641417-S GI_34452172-S
5031,GI_20127571-S^2
1416,GI_37543806-S GI_28195383-S
4626,GI_41584204-S GI_16950634-A
42,GI_34147559-S
1960,GI_28195383-S GI_11641417-S
4312,GI_27475984-S GI_31324542-S
3554,GI_34915989-S GI_38201693-S
1407,GI_32171246-I GI_13430873-S
78,GI_24430180-I
3,GI_20127596-S
1985,GI_28195383-S GI_21314760-S
3131,GI_42659113-S GI_38176289-A
3602,GI_4557394-S GI_7706713-S
5038,GI_20127571-S GI_19923616-S
1406,GI_32171246-I GI_38176289-A
26,GI_34147355-S
5145,GI_13430873-S^2
1037,GI_4758147-S GI_31324542-S
6,GI_21729887-A
622,GI_21729887-A GI_42659113-S
3080,GI_42659113-S GI_31542532-S
711,GI_23312375-A GI_22749180-S
40,GI_37574713-S
94,GI_29171691-A
4448,GI_34222109-I^2
4410,GI_32171195-S^2
3580,GI_4557394-S GI_11641417-S
3838,GI_24432049-S GI_32171195-S
47,GI_4503314-S
1422,GI_37543806-S GI_21361878-S
3590,GI_4557394-S GI_16604251-S
3856,GI_24432049-S GI_31317255-A
2417,GI_21361878-S GI_31442419-S
1910,GI_13376877-S GI_38201693-S
59,GI_4502408-S
2282,GI_21314649-S GI_31324542-S
610,GI_21729887-A GI_21314649-S
2674,GI_22035587-A GI_14149701-S
2741,GI_22749180-S GI_42659113-S
1482,GI_37543806-S GI_34452172-S
4205,GI_4885062-S^2
2239,GI_21314649-S GI_14149701-S
592,GI_21729887-A GI_23312375-A
1895,GI_13376877-S GI_4557678-S
5080,GI_31341099-S GI_42658560-S
3508,GI_34915989-S GI_24308064-S
4315,GI_27475984-S GI_4557678-S
4089,GI_45505129-S GI_20336758-S
2225,GI_21314649-S^2
4330,GI_27475984-S GI_38201693-S
366,GI_20127596-S GI_41584204-S
3362,GI_40804754-S GI_31324542-S
3975,GI_5730010-S^2
3124,GI_42659113-S GI_21450730-S
321,GI_20127596-S GI_22538496-S
2380,GI_21361878-S GI_22035587-A
3133,GI_42659113-S GI_34106709-A
2751,GI_22749180-S GI_4503314-S
672,GI_21729887-A GI_34452172-S
9,GI_31377719-S
3350,GI_40804754-S GI_11641417-S
3340,GI_40804754-S GI_27475984-S
1948,GI_28195383-S GI_4885062-S
624,GI_21729887-A GI_14149701-S
2376,GI_21361878-S^2
2161,GI_22538496-S GI_42659113-S
3865,GI_24432049-S GI_21450730-S
4247,GI_4885062-S GI_38201693-S
4773,GI_20336758-S^2
3239,GI_14149701-S GI_16604251-S
2717,GI_22035587-A GI_31324542-S
1915,GI_28195383-S GI_21314649-S
774,GI_23312375-A GI_21314760-S
685,GI_21729887-A GI_38201693-S
1667,GI_38505264-S GI_13376877-S
1214,GI_7657541-S GI_16604251-S
2126,GI_31377655-S GI_20357531-S
3855,GI_24432049-S GI_16604251-S
3110,GI_42659113-S GI_13376690-S
72,GI_16950634-A
2029,GI_40255181-S GI_27475984-S
1697,GI_38505264-S GI_24432049-S
1500,GI_32261315-S GI_13376877-S
312,GI_20127596-S GI_37543806-S
1865,GI_13376877-S GI_45505129-S
1409,GI_32171246-I GI_38201693-S
4935,GI_16604251-S GI_21314760-S
4299,GI_27475984-S GI_41584204-S
4908,GI_20357531-S GI_31341099-S
817,GI_42658538-S GI_4557394-S
2786,GI_22749180-S GI_31324542-S
2244,GI_21314649-S GI_34915989-S
4269,GI_4502408-S GI_16604251-S
382,GI_20127596-S GI_4557678-S
3863,GI_24432049-S GI_32307180-S
3116,GI_42659113-S GI_31324542-S
2754,GI_22749180-S GI_24432049-S
2822,GI_40548379-S GI_24432049-S
2459,GI_4508018-S GI_42659113-S
54,GI_24308064-S
5142,GI_38176289-A GI_13430873-S
1647,GI_14149858-S GI_8923658-S
766,GI_23312375-A GI_34452172-S
350,GI_20127596-S GI_5730010-S
1354,GI_32171246-I GI_4557394-S
342,GI_20127596-S GI_4557394-S
1324,GI_32171246-I GI_37543806-S
46,GI_31542532-S
1860,GI_13376877-S GI_24432049-S
2182,GI_22538496-S GI_4885062-S
5052,GI_34452172-S GI_19923616-S
591,GI_21729887-A^2
3214,GI_14149701-S GI_45505129-S
2997,GI_14249161-S GI_7706713-S
5138,GI_42658560-S GI_13430873-S
1151,GI_7657541-S GI_14149858-S
5107,GI_7706713-S GI_19923616-S
304,GI_20127596-S GI_23312375-A
899,GI_31377719-S GI_14249161-S
2060,GI_40255181-S GI_40068510-S
3076,GI_42659113-S GI_34147559-S
