,0
5546,GI_38327038-I
5115,GI_37543009-S
46,GI_10835229-S
7242,GI_45446741-S
2569,GI_23238193-A
1863,GI_21359861-S
2282,GI_22035587-A
1244,GI_18641372-S
7363,GI_45598382-S
4739,GI_34222316-S
5417,GI_38016132-S
1354,GI_19913395-I
7112,GI_4507112-S
3714,GI_31343498-A
6804,GI_4502630-S
4422,GI_33946283-I
7330,GI_4557726-S
6889,GI_4503874-S
7940,GI_6912533-S
3613,GI_31077210-A
1414,GI_19923414-S
7677,GI_5453596-S
4128,GI_32313568-S
7186,GI_45238848-S
6619,GI_42661601-S
7795,GI_5901937-S
6131,GI_40806213-S
529,GI_13899296-S
1300,GI_19557644-S
3147,GI_27498358-S
5192,GI_37548529-S
7398,GI_4757909-S
7278,GI_4557348-S
1376,GI_19923110-S
523,GI_13899226-S
8350,GI_8051578-S
8449,GI_8922994-S
446,GI_13430873-S
3674,GI_31341734-S
1246,GI_18641378-S
2673,GI_23957681-S
5565,GI_38327635-S
7390,GI_4757849-S
479,GI_13540508-S
2299,GI_22035654-A
3142,GI_27485046-S
6334,GI_41393558-I
3258,GI_27894372-A
5958,GI_40254998-S
8349,GI_8051576-A
979,GI_16753224-S
7260,GI_45545436-I
4079,GI_32171240-S
4572,GI_34147581-S
5905,GI_40217818-S
6489,GI_42655923-S
6926,GI_4504482-S
2081,GI_21389570-S
5806,GI_39777591-S
6806,GI_4502660-S
6365,GI_41872473-S
1671,GI_20357531-S
2065,GI_21389432-S
5537,GI_38261964-A
4432,GI_33946335-S
6273,GI_41327755-S
2030,GI_21361946-S
2393,GI_22538441-S
3107,GI_27437022-A
1713,GI_21040361-A
3715,GI_31343498-I
6469,GI_42558249-I
2332,GI_22095346-S
7689,GI_5453687-S
5352,GI_37594443-S
4926,GI_34916047-S
4867,GI_34452689-S
2671,GI_23943885-S
3381,GI_29029631-S
8542,GI_8924224-S
1910,GI_21361261-S
4626,GI_34147673-S
3256,GI_27894352-A
2226,GI_21735557-A
4363,GI_33598917-S
1087,GI_17921992-I
4752,GI_34222335-S
6625,GI_42661835-S
4167,GI_32483396-S
3109,GI_27475984-S
2482,GI_22749082-S
5222,GI_37550155-S
3962,GI_31543909-S
1266,GI_18765747-A
2674,GI_23957699-S
5852,GI_39930526-S
5831,GI_39841072-S
3638,GI_31317298-A
6495,GI_42656398-S
6941,GI_4504794-S
6888,GI_4503872-I
2313,GI_22055338-S
6875,GI_4503680-S
6259,GI_41327153-S
2061,GI_21389392-S
1110,GI_17981703-S
4924,GI_34916027-S
309,GI_13129143-S
3842,GI_31542734-S
6624,GI_42661719-S
8490,GI_8923465-S
2918,GI_24497521-I
4387,GI_33636718-S
1105,GI_17978499-A
1805,GI_21312135-S
6864,GI_4503562-S
7996,GI_7262372-S
123,GI_11184225-S
5914,GI_40254432-S
7452,GI_4758697-S
1093,GI_17975764-A
8118,GI_7661869-S
4038,GI_31982866-S
5313,GI_37558299-S
6386,GI_42476063-S
2187,GI_21614543-S
3757,GI_31377723-S
212,GI_12232388-S
3260,GI_27894383-S
3858,GI_31542848-S
6723,GI_44771157-S
6056,GI_40538795-S
6000,GI_40255242-S
4302,GI_33386702-S
6235,GI_41281554-S
5874,GI_40018630-A
7925,GI_6912379-S
6621,GI_42661634-S
4329,GI_33504488-S
443,GI_13430859-S
1892,GI_21361081-S
8319,GI_7706468-S
5257,GI_37551895-S
657,GI_14165257-S
7375,GI_4755136-S
2185,GI_21614536-I
7860,GI_6031156-S
6842,GI_4503320-S
3510,GI_29893558-S
7003,GI_4505564-S
5267,GI_37552150-S
4276,GI_33354256-S
3990,GI_31621298-S
8281,GI_7706116-S
7089,GI_4506756-S
7356,GI_45592953-S
4081,GI_32171246-I
355,GI_13375845-S
555,GI_14042952-S
769,GI_14670363-I
868,GI_15718672-S
5864,GI_39995079-S
1673,GI_20357536-I
3545,GI_30150520-S
7297,GI_4557504-S
5476,GI_38158004-A
3821,GI_31542586-S
4270,GI_33300650-S
8408,GI_8922595-S
6814,GI_4502854-S
5097,GI_37541634-S
4024,GI_31747573-S
6616,GI_42661344-S
4012,GI_31712021-S
4548,GI_34147526-S
2968,GI_25092724-S
7368,GI_4580421-A
3272,GI_28195383-S
2858,GI_24432076-S
5581,GI_38348371-S
3321,GI_28557782-I
8062,GI_7657503-S
6195,GI_41222114-S
6955,GI_4505050-S
5685,GI_38570131-S
6075,GI_40549416-S
4886,GI_34485729-S
13,GI_10346134-S
6831,GI_4503174-S
6374,GI_42403584-A
5187,GI_37547347-S
3027,GI_25952086-S
349,GI_13375757-S
2455,GI_22748812-S
4699,GI_34222221-S
575,GI_14110425-S
6384,GI_42476060-S
943,GI_16507197-S
2356,GI_22208956-S
6112,GI_40804743-S
